UNIMAR RIJEKA d.o.o.;95950787630;17.09.2020;9676-02-91
UTIČNICA 14.518.00 inox;kom;;14.518.00;5;40;74.7;25
KOMANDNA 14.703.00 ploča s 5 prekidača i utičnicom;kom;;14.703.00;2;40;395.4;25
PUMPA 16.124.04 kaljužna Europump auromatska 24V 1,6Amp;kom;;16.124.04;1;35;191.4;25
SLUŠALICA 17.030.99 tuša Whale;kom;;17.030.99;1;35;437.4;25
PROTUPOŽARNA 17.680.00 vratašca bijela plastika;kom;;17.680.00;5;39.99;29.33;25
PROTUPOŽARNA 17.680.01 vratašca sjajni inox;kom;;17.680.01;8;40;77.7;25
RAŠLJE 34.193.00 od krom.mesinga mm68;kom;;34.193.00;6;40;125.4;25
KOMPLET 38.022.34 od 4 lokota krom.mesing;kom;;38.022.34;4;35;389.4;25
ZAŠTITA 46.537.02 za glavu vanbrodskog motora 5 / 15KS;kom;;46.537.02;2;34.99;98.7;25
